dt_year,dt_month,dt_day,num_trips,mean_trip_distance,max_mta_tax,q95_fare_amount,min_tip_amount,mean_passenger_count
2021,12,31,70402,7.649364932814431,3.3,50.0,-3.5,2
2021,12,30,77968,6.510600246254899,0.5,52.0,-4.0,2
2021,12,29,74989,3.681427809412042,0.5,52.0,-2.36,2
2021,12,28,75037,3.7234584271759075,3.3,52.0,-0.82,2
2021,12,27,69897,5.177865859765096,0.5,52.0,-1.16,2
2021,12,26,54705,7.054452426652071,0.5,52.0,-3.0,2
2021,12,25,40807,13.944280148013833,0.5,52.0,-0.01,2
2021,12,24,69619,9.110751949898745,3.0,45.0,-0.66,2
2021,12,23,87850,8.421516448491717,2.8,51.5,-8.67,2
2021,12,22,91699,6.790766202466759,0.5,48.5,-15.8,2
2021,12,21,93093,9.852572696121127,0.55,48.2,-2.36,2
2021,12,20,94213,10.213103711801924,0.5,52.0,-1.66,2
2021,12,19,91200,9.016259100877235,0.5,52.0,-3.71,2
2021,12,18,110279,6.14518104081467,0.5,43.0,-1.95,2
2021,12,17,124147,4.298876493189515,0.55,49.2,-8.0,2
2021,12,16,126270,5.083376336421953,3.3,45.0,-0.82,2
2021,12,15,125048,7.84388394856376,0.5,41.2,-1.95,2
2021,12,14,120218,8.472384002395618,0.5,41.0,-16.0,2
2021,12,13,111299,4.289563248546735,3.3,50.0,-1.16,2
2021,12,12,107167,6.2288641092873425,3.3,52.0,-83.27,2
2021,12,11,130247,9.508033044906979,3.3,38.0,-0.76,2
2021,12,10,133497,5.864068480939709,0.5,45.2,-14.5,2
2021,12,9,134724,6.68705167601914,3.3,43.0,-8.27,2
2021,12,8,131662,7.071597727514414,0.9,40.5,-0.82,2
2021,12,7,126649,8.33371909766361,3.3,41.0,-17.85,2
2021,12,6,112665,5.858836284560404,1.03,52.0,-65.0,2
2021,12,5,109654,6.032032939974816,0.5,52.0,-27.0,2
2021,12,4,132392,5.966328856728488,0.5,38.0,-25.0,2
2021,12,3,136231,8.418163780637222,0.5,42.5,-98.0,2
2021,12,2,128647,9.590563168981841,3.3,44.5,-5.1,2
2021,12,1,121986,9.269197694817434,1.03,43.0,-6.35,2
2021,11,30,54,4.505185185185185,0.5,52.0,0.0,2
2021,5,27,3,2.7566666666666664,0.5,14.0,0.0,1
2021,5,5,4,1.245,0.5,9.5,0.0,1
2021,4,14,3,1.3633333333333333,0.5,10.0,0.0,1
2021,4,1,5,3.7840000000000003,0.5,22.5,0.0,2
2021,3,31,67533,3.0777288140612673,3.3,35.06,-30.56,2
2021,3,30,66702,2.9260648856106313,0.5,35.0,-1.36,2
2021,3,29,58127,4.058761332943358,0.5,35.95,-0.86,2
2021,3,28,40404,3.3863572913572835,0.5,42.5,-1.0,2
2021,3,27,67392,2.9553249643874624,3.3,32.5,-0.88,2
2021,3,26,73535,4.345160671788945,0.5,34.5,-13.82,2
2021,3,25,69841,4.2637642645437825,0.5,33.85,-0.86,2
2021,3,24,68659,3.630117391747603,0.5,32.59,-5.0,2
2021,3,23,63548,4.843450462642418,0.5,33.58,-1.14,2
2021,3,22,59959,5.658548674927885,0.5,36.88,-0.86,2
2021,3,21,45124,3.3174820494636914,0.5,40.2,-10.0,2
2021,3,20,61538,4.00779940849554,0.5,32.0,-0.66,2
2021,3,19,74427,3.49798137772582,0.5,32.5,-0.76,2
2021,3,18,71539,5.373893400802395,0.5,32.5,-1.08,2
2021,3,17,71510,5.342838204446938,0.5,31.5,-16.32,2
2021,3,16,65479,4.627389697460226,0.5,33.2,-12.31,2
2021,3,15,61407,7.719605419577606,0.5,34.0,-1.29,2
2021,3,14,43964,3.147700846146828,0.5,38.5,0.0,2
2021,3,13,60870,2.9144401182848565,0.5,31.0,-70.7,2
2021,3,12,71716,3.5827864074962252,0.5,33.2,-0.66,2
2021,3,11,68222,4.125038990355023,0.5,32.58,-0.08,2
2021,3,10,64635,4.511412392666511,0.5,33.0,-0.66,2
2021,3,9,62056,5.152638584504351,0.5,32.71,-1.26,2
2021,3,8,56282,7.327154863011261,0.5,35.0,-54.19,2
2021,3,7,38947,3.2374347189770747,0.5,39.5,0.0,2
2021,3,6,55004,4.503537742709608,0.5,30.0,-0.01,2
2021,3,5,69582,2.764025322640915,0.5,32.5,-50.0,2
2021,3,4,67141,4.924509167274833,0.5,31.5,-0.01,2
2021,3,3,63297,3.4575433274878926,0.5,32.5,-0.03,2
2021,3,2,61843,4.144927154245413,0.5,31.89,-3.33,2
2021,3,1,54838,9.14988037492251,0.5,35.42,-6.32,2
2021,2,28,37619,5.101262394003018,0.5,39.78,0.0,2
2021,2,27,48980,2.83829910167414,0.5,32.0,0.0,2
2021,2,26,65394,4.585371134966487,0.5,33.32,0.0,2
2021,2,25,61984,2.7459970314920192,0.5,33.5,0.0,2
2021,2,24,59969,4.818838900098395,0.5,33.0,0.0,2
2021,2,23,57160,2.7330110216934957,0.5,32.57,-50.0,2
2021,2,22,50700,2.8220743589743558,0.5,34.2,-26.39,2
2021,2,21,37119,3.1517721382580373,0.5,37.5,-13.46,2
2021,2,20,51340,7.3673813790417135,0.5,31.0,0.0,2
2021,2,19,53029,2.711741688510061,0.5,31.0,-1.96,2
2021,2,18,38121,2.76659898743476,0.5,33.47,-1.76,2
2021,2,17,60166,5.1002936874646805,0.5,32.5,0.0,2
2021,2,16,51211,7.194345941301666,0.5,34.47,-1.07,2
2021,2,15,40322,2.99522692326768,0.5,36.0,-88.08,2
2021,2,14,39672,3.0034686932849386,0.5,35.04,0.0,2
2021,2,13,48355,7.389226346810046,0.5,30.5,-3.66,2
2021,2,12,63611,3.2708740626620987,0.5,33.16,-15.0,2
2021,2,11,58625,2.7048544136460473,0.5,32.08,-0.66,2
2021,2,10,57855,2.7000736323567507,0.5,34.0,-1.74,2
2021,2,9,52733,2.703709252270889,3.3,33.33,-4.0,2
2021,2,8,51729,9.453530514798276,0.5,35.2,-76.56,2
2021,2,7,27488,11.524648573923203,0.5,36.5,-11.06,2
2021,2,6,49987,2.7323992237981725,0.5,30.0,-0.03,2
2021,2,5,57770,4.333692400900141,0.5,34.5,-14.0,2
2021,2,4,59326,2.7725260425446137,3.0,35.2,-64.44,2
2021,2,3,55440,6.115696428571453,0.5,33.5,-47.0,2
2021,2,2,29178,2.8999026663924936,0.5,36.0,0.0,2
2021,2,1,6806,3.0952453717308175,0.5,45.2,0.0,2
2021,1,31,31191,6.683321791542422,0.5,36.5,0.0,2
2021,1,30,39233,2.789168302194578,0.5,32.41,-10.0,2
2021,1,29,54602,9.794839749459715,0.5,31.28,-1.46,2
2021,1,28,56444,8.427085252639825,0.5,30.59,-2.02,2
2021,1,27,52655,2.630663944544687,0.5,30.2,-80.0,2
2021,1,26,47818,5.300479108285586,0.5,30.5,-0.86,2
2021,1,25,47423,2.7990928452438606,0.5,33.5,-0.66,2
2021,1,24,31033,3.242845358167125,0.5,39.5,0.0,2
2021,1,23,42054,2.7643555904313377,0.5,31.5,0.0,2
2021,1,22,54285,2.6968820116053833,0.5,31.5,-0.99,2
2021,1,21,53280,3.2316199324324164,0.5,32.5,-0.66,2
2021,1,20,49437,5.550782814491197,0.5,31.0,-10.0,2
2021,1,19,51149,3.7831504037224537,0.5,32.45,-1.44,2
2021,1,18,37092,3.056818451418082,0.5,36.59,-1.14,2
2021,1,17,31985,3.2603764264499127,0.5,39.0,-0.76,2
2021,1,16,38723,9.634064767709114,0.5,34.0,-100.0,2
2021,1,15,53024,2.7767162039831037,0.5,33.44,-1.46,2
2021,1,14,53051,4.2325060790559945,0.5,33.5,-1.14,2
2021,1,13,51306,5.87470061981058,0.5,31.5,-0.66,2
2021,1,12,50133,2.7648064149362765,0.5,33.0,0.0,2
2021,1,11,46849,5.784296783282457,0.5,34.09,-2.75,2
2021,1,10,29855,5.1587546474627635,0.5,45.0,0.0,2
2021,1,9,39911,5.164707223572455,0.5,36.5,-0.66,2
2021,1,8,50477,3.7929185569665362,0.5,32.95,-0.66,2
2021,1,7,50290,3.8851988466891942,0.5,34.99,-0.86,2
2021,1,6,49547,4.861730276303321,0.5,34.0,-4.38,2
2021,1,5,46880,4.047962244027289,0.5,36.24,-15.5,2
2021,1,4,44545,3.88908811314402,0.5,39.56,-1.14,2
2021,1,3,26345,9.749994306320001,0.5,52.0,-21.09,2
2021,1,2,34309,3.441792532571602,0.5,44.5,-30.72,2
2021,1,1,24827,3.580714141861681,0.5,43.36,-1.07,2
